Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
1346 Elm Ave,San Gabriel,CA,Multi-Family,"4,013",2 Star,"$1,825,000",454.77,9/6/2023,Sold,"1,800,000",,,,,,,,,,,"Arbor Realty Capital Advisors, Inc.",Apartments,C,1945,4,0.43,18728,1,,SLR3,San Gabriel,Suburban,Los Angeles,United States,North America,Americas,91775-3085,,,"4,244,820.59",97.45,,,,"456,250",9/1/2023,9/6/2023,,Confirmed,Research Complete,,78,No,No,,,"158,003","48,484","206,487",2023,1003,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500920,,,,0.214277948988926,,,0586800,,,06037,,,,,,Yes,B and X,0.21,,,,,,20+ Years,,,,76.52,,,,34.1044435,,"180 South Lake Ave, 205",Matthew,Dobson,Pasadena,3235158302,CA,South Lake Ave,180,,,91101,,-118.0785165,,,,,Los Angeles,71,,,3,0,0,,1,14,,0,,,3(1 + 1) ,1(4 + 2) ,5387-009-018,5387-009-018,,,,,San Gabriel,Los Angeles,,CA,,,,,,454.77,,Elm Ave,1346,,,16014382,,,,,High Vacancy Property,Investment,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,013",,,,,San Gabriel Valley,2FN       ,,,,,"On September 06, 2023, the apartment building on .43 acres located at 1346 Elm Ave, San Gabriel, CA 91775 sold for $1,825,000. The seller was represented by Matthew Dobson and Joshua Levy of Arbor Realty Capital Advisors, Inc.. The property was put on the market on June 27, 2023 and was on the market for 71 days. The property was built in 1945. The property includes 14 parking spaces. The zoning on the property is SLR3. A sale condition that impacted the price was high vacancy property The sale was confirmed by the listing broker.",,,4013,,,
326 W Palm St,Compton,CA,Multi-Family,"5,320",2 Star,"$1,586,000",298.12,9/6/2023,Sold,,,,,Kadijah Branson,,Local,,Balerno Castle LLC,,Local,,Apartments,C,1926,8,0.18,7841,2,,COPRH*,West Compton,Urban,Los Angeles,United States,North America,Americas,90220,,,"8,810,886.37",202.27,,,,"198,250",9/6/2023,9/12/2023,,Full Value,In Progress,Rent Stabilized,97,No,No,"Fenced Lot, Laundry Facilities, Property Manager on Site, Yard, Dining Room, Double Pane Windows, Family Room, Lawn",,"889,926","375,269","1,265,195",2023,600,,,Wood Frame,,,,5720 W Centinela Ave,Los Angeles,Kadijah Branson,,,W,Individual,CA,Centinela Ave,5720,Private,90045-8809,,,,,,,,,,,,,,,,,,,,,,,,6507063,,,Wood Frame,0.242577288031833,,,0593186,"475,000",,06037,,"1,111,000",,,Lender Name: Wellhoefer Tara,Yes,C and X,0.68,,,,,,60 Months,,,,70.34,,,,33.8948802,,,,,,,,,,,,,,-118.2276508,,,,,Los Angeles,,,,8,0,0,,0,8,,0,,,8(1 + 1) ,,6160-002-006,6160-002-006,,1.50,100.00%,,Compton,Los Angeles,,CA,90220,,,,,298.12,,Palm St,326,,W,8239138,,,,,,Investment,Independent,,,,,10535 Clancey Ave,Downey,Hector Contreras,5622155625,,,Individual,CA,Clancey Ave,10535,Private,90241,,,,,,,,,,,,,"5,320",,,,,South Los Angeles,0FV       ,,,,,,,,1902,,,2019
627 E Magnolia Blvd,Burbank,CA,Multi-Family,"4,388",2 Star,"$2,900,000",660.89,9/1/2023,Sold,,,,,Isabella's Fine Jewelry,,National,,Cholakian Insurance Agency,,Local,,Apartments,C,1917,7,0.21,8995,2,,BUR4*,Burbank,Urban,Los Angeles,United States,North America,Americas,91501-1944,,,"14,043,802.11",322.40,,,,"414,286",9/1/2023,9/6/2023,,Full Value,In Progress,,106,No,No,,,"1,440,000","959,000","2,399,000",2023,,,Needs Improvement,Masonry,2022 Est Tax @ $1428.57/Unit; 2022 Ops @ $1478.14/Unit,,2022 Est Tax @ $1428.57/Unit; 2022 Ops @ $1478.14/Unit,"16917 Algonquin St, C",Huntington Beach,George Aydin,7143777419,,,Individual,CA,Algonquin St,16917,Private,92649,,,,,,,,,,,,,,,,,,,,,,,,6501755,,,Masonry,0.243909488901785,,,0586176,,,06037,,,,,,Yes,B and X,0.49,,,,,,13 Months,,,,60.03,,,,34.188641,,,,,,,,,,,,,,-118.306339,,,,,Los Angeles,,,,6,1,0,,0,11,,0,,,6(1 + 1) ,,2455-034-009,2455-034-009,,0.95,100.00%,,Burbank,Los Angeles,,CA,,,,,,660.89,,Magnolia Blvd,627,,E,5013113,,,,,,Investment,Independent,,,,,1301 Glenoaks Blvd,Glendale,Gevik Keshishian,8182439900,,,Insurance Company,CA,Glenoaks Blvd,1301,Institutional,91201,,,,,,,,,,,,,"4,388",,,,,Burbank,4EL       ,,,,,,,1(2 + 1) ,2194,,,
252 S 7th St,Montebello,CA,Multi-Family,"2,305",3 Star,"$1,460,000",633.41,9/1/2023,Sold,"1,460,000",5.28,,,Russell James Lieu,,Local,RE/MAX Commercial & Investment Realty,Daniel Murillo,,Local,RE/MAX Commercial & Investment Realty,Apartments,B,1915,6,0.13,5502,2,,MNR3*,Montebello,Urban,Los Angeles,United States,North America,Americas,90640,,,"11,558,996.73",265.36,,,,"243,333",9/1/2023,9/1/2023,,Confirmed,Research Complete,,108,No,No,,,"315,353","635,961","951,314",2023,,,Good,Wood Frame,,,,1001 Encino Ave,Arcadia,Russ Lieu,6262320361,,,Individual,CA,Encino Ave,1001,Private,91006-4445,,,,,,,,,,,,"99 S Lake Ave, 504",Shant,Sherbetdjian,Pasadena,2138171000,CA,Lake Ave,99,,S,91101-4701,,6498301,,,Wood Frame,0.209559398184667,,,0585314,,,06037,,,,,,Yes,B and X,0.42,,,12.56,,,16 Months,,,,33.15,,,,34.0063091,,"99 S Lake Ave, 504",Shant,Sherbetdjian,Pasadena,2138171000,CA,Lake Ave,99,,S,91101-4701,,-118.1079622,,,,,Los Angeles,143,,,6,0,0,,0,5,,0,,,6(1 + 1) ,,6349-009-026,6349-009-026,,2.17,,,Montebello,Los Angeles,,CA,90640,,,,,633.41,,7th St,252,,S,11250398,,,,,,Investment,Independent,,,,,17725 Crenshaw Blvd,Torrance,Dan Murillo,3108771450,,,Individual,CA,Crenshaw Blvd,17725,Private,90504-4138,,,,,,,,,,,,,"2,305",,,,,Southeast Los Angeles,8FW       ,,,,,"Dan Murillo sold this 6 unit multi-family asset to Russell Lieu for $1,460,000. 

The asset was on the market for 143 days from list to close with an initial asking price of $1,460,000. 

The in place net operating income was reported by the listing agent to be $77,136 yielding an actual cap rate of 5.28%. 

All information found in the comparable has been verified by the listing agent as well as the buyer in the transaction.",,,1153,,,
754-774 Bradford St,Pomona,CA,Multi-Family,"5,212",2 Star,"$2,235,000",428.82,8/31/2023,Sold,,,,,Carmen & Jaime R Renella,,Local,,Rao R Yalamanchili,,Local,,Apartments,C,1900,9,0.39,16988,1,,R4YY,Pomona,Suburban,Los Angeles,United States,North America,Americas,91767-4606,,,"5,730,904.17",131.56,,,Western University of Health Sciences,"248,333",8/31/2023,9/6/2023,,,In Progress,,123,No,No,,,"601,504","437,457","1,038,961",2023,550,,Adequate,Wood Frame,2021 Tax @ $2079.97/Unit,,2021 Tax @ $2079.97/Unit,244 Mel Canyon Rd,Duarte,Carmen Renella,6266411721,,,Individual,CA,Mel Canyon Rd,244,Private,91010-1527,,,Carmen Renella,,6266411721,,,,,,,,,,,,,,,,,,,6501939,,,Wood Frame,0.306797579524852,,"

Property Description: 9-UNIT APARTMENT COMPLEX



",0582196,,,06037,,"585,000",,,Lender Name: Pi Properties No 165 Llc,Yes,B and X,0.31,,,,,,71 Months,,,,57.89,,,,34.0651573,,,,,,,,,,,,,,-117.7496077,105.000x160.000,,,,Los Angeles,,,,9,0,0,,0,6,,0,,,9(1 + 1) ,,8336-003-015,8336-003-016,,1.21,100.00%,,Pomona,Los Angeles,,CA,,,,,,428.82,,Bradford St,754-774,,,4014834,,,,,,,Independent,,,,,610 N Santa Anita Ave,Arcadia,Rao Yalamanchili,6263214800,,N,Other - Private,CA,Santa Anita Ave,610,Private,91006-3521,,,Pi Properties No 165 Llc,,6083456564,,,,,,,,"5,212",,,,,San Gabriel Valley,9FM       ,,,,,,,,5212,23,,
2116 S Palm Grove Ave,Los Angeles,CA,Multi-Family,"5,075",2 Star,"$1,200,000",236.45,8/31/2023,Sold,"1,250,000",5.00,,,Oscar Islas,,National,,Center Street Lending,,National,Lee & Associates,Apartments,C,1924,5,0.13,5643,2,,LARD2,Mid-City,Urban,Los Angeles,United States,North America,Americas,90016-2300,,,"9,263,157.90",212.65,,,,"240,000",8/31/2023,9/7/2023,,Confirmed,In Progress,,99,No,No,,,"343,332","1,248,480","1,591,812",2023,,,Good,Wood Frame,,,,7434 Quinn St,Downey,Oscar Islas,3238208070,,,Individual,CA,Quinn St,7434,Private,90241,7434 Quinn St,Downey,Oscar Islas,,3238208070,CA,Quinn St,7434,,,90241,,,,,,,,,,,,,6501741,,,Wood Frame,0.449762359604323,,,0582237,,,06037,,"650,000",,,Lender Name: Record Owner,Yes,B and X,0.90,,,,,,3 Months,,,,21.57,,,,34.036499,,4312 Eagle Rock Blvd,Michael,Salerno,Los Angeles,2136230800,CA,Eagle Rock Blvd,4312,,,90041-3211,,-118.342605,,,,,Los Angeles,78,,,5,0,0,,0,3,,0,,,5(1 + 1) ,,5061-024-001,5061-024-001,,0.59,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,236.45,,Palm Grove Ave,2116,,S,11531128,,,,,,Investment,Independent,,,,,,,,,,,Investment Manager,,,,Institutional,,,,,,,,,,,,,,"5,075",,,,,Mid-Wilshire,RU0       ,,,,,,,,2538,,,
5350 Verona St,Los Angeles,CA,Multi-Family,"4,872",3 Star,"$1,120,000",229.89,8/31/2023,Sold,"1,075,000",4.24,,,Michael Bakhshi,,Local,Marcus & Millichap,Gilbert & Irma Jauregui,,Local,Marcus & Millichap,Apartments,C,1929,8,0.11,4857,2,,LCR4YY,Montebello,Urban,Los Angeles,United States,North America,Americas,90022-4063,,,"10,044,718.96",230.60,,2.5,,"140,000",8/31/2023,9/1/2023,,Confirmed,Research Complete,,94,No,No,Air Conditioning,,"230,988","127,430","358,418",2023,,,Adequate,Reinforced Concrete,,,,"2008 W Carson St, 100",Torrance,Michael Bakhshi,3238350895,,W,Individual,CA,Carson St,2008,Private,90501-3242,,,Baksduncan LLC,,,,,,,,,"16830 Ventura Blvd, 100",Jason,Tuvia,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6498280,,,Reinforced Concrete,0.501545815263134,,,0582245,,,06037,,"896,000",,,Lender Name: Luxurious Properties,Yes,B and X,1.00,,,13.62,,,20+ Years,,,,64.45,,,,34.0176236,,"16830 Ventura Blvd, 100",Jason,Tuvia,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.156042,,,,,Los Angeles,29,,"47,515",3,0,0,,0,3,,5,,,3(1 + 1) ,,6340-007-001,6340-007-001,,0.62,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,229.89,,Verona St,5350,,,17321222,,,,,Distress Sale,Investment,Independent,,,,,724 N Soldano Ave,Azusa,Gilbert Jauregui,,,N,Individual,CA,Soldano Ave,724,Private,91702-2558,724 N Soldano Ave,Azusa,Gilbert & Irma Jauregui,,,CA,Soldano Ave,724,,N,91702-2558,,"4,872",,,,5(0 + 1) ,Southeast Los Angeles,8FW       ,,,,,"Gilbert & Irma Jaurequi sold this 8-unit multifamily property to Michael Bakhshi for $1,120,000 or approximately $140,000 per unit in an investment sale. At the time of sale the property was 100% occupied. This was a distress sale with the property being subject to Los Angeles's rent control laws and needing extensive improvements as it has not been renovated in approximately 35 years due to deferred maintenance. The escrow period was 14 days total and fully noncontingent, with the property closing for $45,000 over the listing price. 

The property was on market for 29 days before closing with an initial asking price of $1,075,000. 

The in-place NOI for 2023 was reported to be $45,580 yielding a cap rate of 4.10% with a GRM of 13.62.

All information in the comparable has been verified by sources deemed reliable.",,,2436,,,
640 San Julian St,Los Angeles,CA,Multi-Family,"6,592",2 Star,"$1,725,000",261.68,8/30/2023,Sold,,6.80,,,Christopher Barker,,National,,David G Holstein,,Local,,Apartments,C,1908,29,0.10,4356,2,,R5,Toy District,CBD,Los Angeles,United States,North America,Americas,90014,,,"17,250,000.00",396.01,,,,"59,483",8/30/2023,9/6/2023,,Full Value,In Progress,Affordable Units,115,No,No,,,"305,650","625,804","931,454",2023,,,Adequate,Masonry,2021 Tax @ $816.79/Unit; 2021 Ops @ $2446.52/Unit,,2021 Tax @ $816.79/Unit; 2021 Ops @ $2446.52/Unit,7227 S Hoover St,Los Angeles,Chris Barker,7148837270,,S,Individual,CA,Hoover St,7227 ,Private,90044,,,,,,,,,,,,,,,,,,,,,,,,6501767,,,Masonry,0.756657483930211,,"

Property Description: 29-UNIT S.R.O.





Property Use Description: Single Room Occupancy Hotel",0578835,,,06037,,"1,035,000",,,Lender Name: Yorkshire Holdings 1 Llc,Yes,B and X,1.51,,,6.43,,,79 Months,,,,32.81,,,,34.0416901,,,,,,,,,,,,,,-118.246699,,,,,Los Angeles,,,,0,0,0,,0,,,29,,,,,5148-025-014,5148-025-014,,0.00,100.00%,,Los Angeles,Los Angeles,,CA,90014,,,,,261.68,,San Julian St,640,,,4014577,,,,,,Investment,Independent,,,,,25835 Narbonne Ave,Lomita,David Holstein,3108913650,,,Individual,CA,Narbonne Ave,25835,Private,90717-3074,,,Parker Inn Llc,,,,,,,,,,"6,592",,,,29(0 + 1) ,Downtown Los Angeles,QF1       ,,,,,,,,3296,,,
12701 Cranbrook Ave,Hawthorne,CA,Multi-Family,"3,291",2 Star,"$1,030,000",312.97,8/30/2023,Sold,,,,,Cheyenne Moseley,,National,,Daniel Floyd Bliss,,National,,Apartments,C,1941,5,0.15,6686,1,,HAR3YY,Hawthorne,Urban,Los Angeles,United States,North America,Americas,90250,,,"6,710,559.38",154.05,,,,"206,000",8/30/2023,9/6/2023,,Full Value,In Progress,,82,No,No,,,"224,224","80,522","304,746",2023,,,Poor,Reinforced Concrete,,,,2780 Santa Ana Ln,Round Rock,Cheyenne Moseley,3235294547,,,Individual,TX,Santa Ana Ln,2780,Private,78665,,,,,,,,,,,,,,,,,,,,,,,,6501818,,,Reinforced Concrete,0.492188691774123,,,0577833,,None,06037,,,,,,Yes,B and X,0.49,,,,,,80 Months,,,,73.58,,,,33.9173564,,,,,,,,,,,,,None,-118.3365297,,,,,Los Angeles,,,,0,0,0,,0,5,,5,,,,,4049-014-018,4049-014-018,,1.52,100.00%,,Hawthorne,Los Angeles,,CA,90250,,,,,312.97,,Cranbrook Ave,12701,,,8188942,,,,,,Investment,Independent,,,,,3512 Senefeld Dr,Torrance,Daniel Bliss,3104860478,,,Individual,CA,Senefeld Dr,3512,Private,90505,,,Daniel Floyd Bliss and Shelly Bliss Thompson,,,,,,,,,,"3,291",,,,,South Bay,5EW       ,,,,,,,,3291,,,
1400 N Sierra Bonita Ave,Los Angeles,CA,Multi-Family,"8,661",2 Star,"$1,000,000",115.46,8/30/2023,Sold,,,,Yury Plaza,,,,,,,,,Apartments,C,1926,9,0.21,9148,3,,LAR3,Hollywood,Urban,Los Angeles,United States,North America,Americas,90046,,,"4,761,696.55",109.31,,,,"111,111",8/30/2023,9/6/2023,,,In Progress,,97,No,No,,,"364,296","542,081","906,377",2023,,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6501879,,,,0.277668459486641,,,0578049,,None,06037,,"1,425,000",,,Lender Name: Jpmorgan Chase Bank Na,Yes,B and X,0.95,,,,,,<1 Month,,,,40.19,,,,34.0964542,,,,,,,,,,,,,None,-118.3537111,,,,,Los Angeles,,,,0,0,0,,0,,,9,,,,,5550-025-007,5550-025-007,,,100.00%,,Los Angeles,Los Angeles,,CA,90046,,,,,115.46,,Sierra Bonita Ave,1400,,N,6143322,,,,,,,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,661",,,,,Hollywood,2ET       ,,,,,Comp in progress.,,,2540,,,
722 Robinson St,Los Angeles,CA,Multi-Family,"2,898",2 Star,"$1,460,000",503.80,8/28/2023,Sold,,,,,Connie Mix,,National,,Caitlin & Seth Hood,,National,Compass,,C,1923,3,0.15,6534,2,,,Silver Lake,Urban,Los Angeles,United States,North America,Americas,90026-3615,,,"9,733,333.33",223.45,,,,"486,667",8/28/2023,9/6/2023,,Full Value,In Progress,,100,No,No,,,"341,347","682,695","1,024,042",2023,,,,,,,,9929 Nestling Cir,Elk Grove,Connie Mix,9162061284,,,Individual,CA,Nestling Cir,9929,Private,95757,722 Robinson St,Los Angeles,Catt Management LLC,,,CA,Robinson St,722,,,90026-3615,,,,,,,,,,,,,6500900,,,,0.221763085399449,,,0569913,,,06037,,,,,,No,,0.44,,,,,,20+ Years,,,,33.33,,,,34.08092,,"6430 W Sunset Blvd, 600",Lorraine,Getz,Los Angeles,3235936999,CA,Sunset Blvd,6430,,W,90028-7901,,-118.278498,,,,,Los Angeles,,,,0,3,0,,0,,,0,,,,,5401-017-008,5401-017-008,,,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,503.80,,Robinson St,722,,,16756964,,,,,,Investment,Independent,,,,,724 Robinson St,Los Angeles,Caitlin Hood,3233602780,,,Individual,CA,Robinson St,724,Private,90026,724 Robinson St,Los Angeles,Caitlin & Seth Hood,,3233602780,CA,Robinson St,724,,,90026,,"2,898",,,,,Northeast Los Angeles,9FD       ,,,,,,,3(2 + 1) ,1449,,,
425 Daisy Ave,Long Beach,CA,Multi-Family,"4,824",2 Star,"$2,100,000",435.32,8/25/2023,Sold,"2,230,000",6.04,,,JLJC Trust,,Local,Buckingham Investments,Martha F Forero Trust,,Local,Centennial Advisers,Apartments,C,1912,11,0.17,7492,2,,LBPD30,Downtown Long Beach,Urban,Los Angeles,United States,North America,Americas,90802,,,"12,209,823.81",280.30,,,,"190,909",8/25/2023,8/28/2023,,Confirmed,Research Complete,,111,No,No,,,"147,721","147,721","295,442",2023,,,Adequate,Wood Frame,2021 Tax @ $454.82/Unit,,2021 Tax @ $454.82/Unit,1017 W 213th St,Torrance,Justin Lo,,,W,Trust,CA,213th St,1017,Private,90502-1823,1017 W 213th St,Torrance,JLJC Trust,,,CA,213th St,1017,,W,90502-1823,1641 E 4th St,Chris,Crosby,Long Beach,5626244400,CA,4th                       St,1641,,E,90802-1902,,6493074,,,Wood Frame,0.321929655967711,,"The subject property is located at 425 Daisy Avenue just North of 4th Street. The unit mix consists of 4 studios / one bath and 7 one bedroom / one bath. The building has an on-site laundry facility and  is separately metered for gas & electric and has five on premises parking spaces. 

The building sits on a lot of 7,497 square feet and has a total rentable square footage of 4,824 and was constructed in 1912.

425 Daisy Avenue is in the heart of the ""West Gateway project which will transform the Westside of Downtown into a dynamic mixed use community. Developers such as Lyon Realty Advisor, The Olson Company and Lennar Realty are set to breakground as early as mid 2006 and begin the areas transformation. Also, in close proximity, is the Molasky Pacific Development at the World Trade Center site. This $800 million dollar development will consist of Two Towers of 55 & 45 stories and offer highend luxury condominiums. 

425 Daisy Avenue is ideally located to benefit from downtown Long B",0568282,"700,000",,06037,,"1,400,000",,,Lender Name: Forero Martha,Yes,B and X,0.64,,,,,,20+ Years,,,,50.00,,,,33.772324,,5508 E Britton Dr,Ryan,Rayburn,Long Beach,5622694844,CA,Britton Dr,5508,,E,90815-3128,,-118.19954,,,,,Los Angeles,102,,,11,0,0,,0,,,0,,,11(1 + 1) ,,7278-025-019,7278-025-019,,0.00,,,Long Beach,Los Angeles,,CA,90802,,,,,435.32,,Daisy Ave,425,,,927302,,,,,,Investment,Independent,,,,,1331 Termino Ave,Long Beach,Martha Forero,5625005151,,,Trust,CA,Termino Ave,1331,Private,90804-3014,,,,,,,,,,,,,"4,824",,,,,Long Beach/Ports,8FA       ,,,,,"On August 25, 2023, the 11-unit, apartment building on .17 acres located at 425 Daisy Ave, Long Beach, CA 90802 sold for $2,100,000. The seller was represented by Chris White, Spencer Allen and Ryan Rayburn of Centennial Advisers. The property was put on the market on May 15, 2023 and was on the market for 102 days. The buyer took out a loan of $1,400,000 to finance the acquisition.  The property was built in 1912. The zoning on the property is LBPD30. Spencer Allen who was the listing broker confirmed the price of the transaction and the size of the building, and Chris Crosby who represented the buyer confirmed the price of the transaction and the size of the building.",,,2412,,,
401 N Oakhurst Dr,Beverly Hills,CA,Multi-Family,"7,444",2 Star,"$3,380,000",454.06,8/24/2023,Sold,,,,,Ilana Yamtoobian,,Local,KW Commercial Beverly Hills,Laura Fox,,National,KW Commercial Beverly Hills,Apartments,C,1937,6,0.18,7703,2,,BHR4YY,Beverly Hills,Urban,Los Angeles,United States,North America,Americas,90210,,,"19,113,695.96",438.79,,,,"563,333",8/24/2023,8/31/2023,,Confirmed,Research Complete,,86,No,No,,,"154,527","580,709","735,236",2023,,,Adequate,Wood Frame,,,,"8150 Beverly Blvd, 100",Los Angeles,Ilana Yamtoobian,9497605027,,,Individual,CA,Beverly Blvd,8150,Private,90048-4513,,,,,,,,,,,,"439 N Canon Dr, 300",Jared,Battat,Beverly Hills,3104326400,CA,Canon Dr,439,,N,90210,,6496582,,,Wood Frame,0.441904603648958,,,0564570,,None,06037,,"1,085,000",,,Lender Name: Jpmorgan Chase Bank Na,Yes,B and X,0.97,,,,,,<1 Month,,,,21.02,,,,34.0754088,,"439 N Canon Dr, 300",Jared,Battat,Beverly Hills,3104326400,CA,Canon Dr,439,,N,90210,None,-118.3913208,,,,,Los Angeles,,,,0,0,0,,0,6,,6,,,,,4342-001-030,4342-001-030,,0.88,100.00%,,Beverly Hills,Los Angeles,,CA,90210,,,,,454.06,,Oakhurst Dr,401,,N,5859605,,,,,,Investment,Independent,,,,,2023 El Cerrito Pl,Los Angeles,Laura Fox,3238769326,,,Other - Private,CA,El Cerrito Pl,2023,Private,90068,,,,,,,,,,,,,"7,444",,,,,Beverly Hills/Century City/UCLA,8EK       ,,,,,"Laura Fox sold this 7,444 square foot property to Ilana Yamtoodian for $3,380,000. All information in the comparable has been verified by the seller and the borkers who handled both sides of the deal.",,,3404,,,
